ko_mb,ku_naziv,ZUP_NAZIV,ZUP_SJEDIS,Sumarija,USP,ko_fix,Sumariafix
"333182",Vrbovec,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Velika,Vrbovec
"333166",Vrbovec,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Preseka,Vrbovec
"333077",Vrbovec,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Hudovo,Vrbovec
"333069",Vrbovec,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Hruškovica,Vrbovec
"333018",Vrbovec,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Gostović,Vrbovec
"325422",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Dugo Selo,Zagreb,Sesvete,Dugo Selo
"325392",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Dugo Selo,Zagreb,Sesvetski Kraljevec,Dugo Selo
"308102",Dugo Selo,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Lupoglav,Dugo Selo
"336491",Vrbovec,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Valetić,Vrbovec
"336475",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Vrbovec,Bjelovar,Gornji Vinkovec,Vrbovec
"335959",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Zelina,Dugo Selo
"335932",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Tomaševec,Dugo Selo
"335924",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Radoišće,Dugo Selo
"335916",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Psarjevo,Dugo Selo
"335908",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Paukovec,Dugo Selo
"335894",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Orešje,Dugo Selo
"335886",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Obrež,Dugo Selo
"335878",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Novo Mjesto,Dugo Selo
"335860",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Laktec,Dugo Selo
"335851",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Komin,Dugo Selo
"335843",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Hrnjanec,Dugo Selo
"335835",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Hrastje,Dugo Selo
"335827",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Helena,Dugo Selo
"335819",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Blaževdol,Dugo Selo
"335797",Sveti Ivan Zelina,Zagrebačka županija,Zagreb,Šumarija Dugo Selo,Zagreb,Blaškovec,Dugo Selo
"335690",Zaprešiæ,Zagrebačka županija,Zagreb,Šumarija Zagreb,Zagreb,Gornja Bistra,Zagreb
"335568",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Zagreb,Zagreb,Gornje Vrapče,Zagreb
"335363",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Zagreb,Zagreb,Gračani,Zagreb
"335355",Grad Zagreb,Grad Zagreb,Zagreb,Hortikultura Zagreb,Zagreb,Remete,Hortikultura Zagreb
"335347",Grad Zagreb,Grad Zagreb,Zagreb,Šumarija Zagreb,Zagreb,Markuševec,Zagreb
"335339",Grad Zagreb,Grad Zagreb,Zagreb,Hortikultura Zagreb,Zagreb,Maksimir,Hortikultura Zagreb
