USP.x,Sumarija,GJ,Odsjek,KO.x,KC,Povrsina,stranica,odluka,napomena,KC_odluka,KC_2,ko_mb,ku_naziv,ZUP_NAZIV,ZUP_SJEDIS,Sumarija.y,USP.y,KOKC,.id,OBJECTID,KO.y,BROJ_KC,SHAPE_Leng,SHAPE_Area
Osijek,Batina,NA,NA,Branjina,1457,0.4066,1,10,NA,1457,1457,300080,Beli Manastir,Osječko-baranjska županija,Osijek,Šumarija Batina,Osijek,300080_1457,KC_OBZ.csv,100482,300080,1457,560.259516924735,13428.675727458962
Osijek,Batina,NA,NA,Podolje,459,1.0411,1,10,NA,459,459,300268,Beli Manastir,Osječko-baranjska županija,Osijek,Šumarija Batina,Osijek,300268_459,KC_OBZ.csv,7455541,300268,459,555.3282683216036,13764.24497344476
Senj,Senj,NA,NA,Sveti Juraj,7643/1,0.6,1,10,NA,7643/1,7643/1,325236,Senj,Ličko-senjska županija,Gospić,Šumarija Senj,Senj,325236_7643/1,KC_LSZ.csv,NA,325236,7643/1,3847.44217141,513490.06702
Senj,Krk,NA,NA,Omišalj,10214/1,3,1,10,NA,10214/1,10214/1,315958,Krk,Primorsko-goranska županija,Rijeka,Šumarija Krk,Senj,315958_10214/1,KC_PGZ.csv,11672051,315958,10214/1,2775.6848485899363,360118.09599717654
Senj,Krk,NA,NA,Skrbčići,826/2,0.7,1,10,NA,826/2,826/2,315982,Krk,Primorsko-goranska županija,Rijeka,Šumarija Krk,Senj,315982_826/2,KC_PGZ.csv,10637434,315982,826/2,914.7596826023458,18220.2425679089
Koprivnica,Pitomača,NA,NA,Pitomača II,8391/1,0.5323,1,10,NA,8391/1,8391/1,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8391/1,KC_VPZ.csv,13100743,309478,8391/1,301.51849948025074,5354.358365447173
Koprivnica,Pitomača,NA,NA,Pitomača II,8391/2,0.5834,1,10,NA,8391/2,8391/2,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8391/2,KC_VPZ.csv,13100745,309478,8391/2,318.95257935233707,5858.169631521879
Koprivnica,Pitomača,NA,NA,Pitomača II,8391/3,0.5834,1,10,NA,8391/3,8391/3,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8391/3,KC_VPZ.csv,13101841,309478,8391/3,519.4446877068201,5879.054677746054
Koprivnica,Pitomača,NA,NA,Pitomača II,8391/4,0.5834,1,10,NA,8391/4,8391/4,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8391/4,KC_VPZ.csv,13104176,309478,8391/4,497.54474373725446,5869.761835609445
Koprivnica,Pitomača,NA,NA,Pitomača II,8391/5,0.5726,1,10,NA,8391/5,8391/5,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8391/5,KC_VPZ.csv,13104177,309478,8391/5,473.90273357255734,5771.979486953518
Koprivnica,Pitomača,NA,NA,Pitomača II,8391/6,0.5546,1,10,NA,8391/6,8391/6,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8391/6,KC_VPZ.csv,13105334,309478,8391/6,448.82368999458026,5593.693213819726
Koprivnica,Pitomača,NA,NA,Pitomača II,8391/7,0.5186,1,10,NA,8391/7,8391/7,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8391/7,KC_VPZ.csv,13105335,309478,8391/7,422.85501374044924,5277.707985753056
Koprivnica,Pitomača,NA,NA,Pitomača II,8391/12,0.4305,1,10,NA,8391/12,8391/12,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8391/12,KC_VPZ.csv,13104161,309478,8391/12,322.5338280416252,4353.476912951919
Koprivnica,Pitomača,NA,NA,Pitomača II,8391/13,0.3964,1,10,NA,8391/13,8391/13,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8391/13,KC_VPZ.csv,13104162,309478,8391/13,290.7586843758737,3985.4211715523993
Koprivnica,Pitomača,NA,NA,Pitomača II,8391/14,0.3291,1,10,NA,8391/14,8391/14,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8391/14,KC_VPZ.csv,13104163,309478,8391/14,252.96844439339998,3316.65846177775
Koprivnica,Pitomača,NA,NA,Pitomača II,8393/1,2.3087,1,10,NA,8393/1,8393/1,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8393/1,KC_VPZ.csv,13112127,309478,8393/1,716.5144399206988,23328.986363576485
Koprivnica,Pitomača,NA,NA,Pitomača II,8393/3,0.5906,1,10,NA,8393/3,8393/3,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8393/3,KC_VPZ.csv,13109879,309478,8393/3,605.28205612725435,5903.789347586597
Koprivnica,Pitomača,NA,NA,Pitomača II,8393/5,0.5924,1,10,NA,8393/5,8393/5,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8393/5,KC_VPZ.csv,13109877,309478,8393/5,620.7172911254314,6151.073912065161
Koprivnica,Pitomača,NA,NA,Pitomača II,8393/6,0.6229,1,10,NA,8393/6,8393/6,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8393/6,KC_VPZ.csv,13109876,309478,8393/6,629.689954198739,6265.163589278833
Koprivnica,Pitomača,NA,NA,Pitomača II,8393/7,0.605,1,10,NA,8393/7,8393/7,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8393/7,KC_VPZ.csv,13108761,309478,8393/7,636.8688063025488,6220.109790726521
Koprivnica,Pitomača,NA,NA,Pitomača II,8393/8,1.8731,1,10,NA,8393/8,8393/8,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8393/8,KC_VPZ.csv,13108760,309478,8393/8,725.8944761693446,18974.008666749418
Koprivnica,Pitomača,NA,NA,Pitomača II,8393/10,0.5956,1,10,NA,8393/10,8393/10,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8393/10,KC_VPZ.csv,13108758,309478,8393/10,630.5719820171701,6509.36105793899
Koprivnica,Pitomača,NA,NA,Pitomača II,8393/11,0.5852,1,10,NA,8393/11,8393/11,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8393/11,KC_VPZ.csv,13108757,309478,8393/11,620.4811970403453,6168.103170653395
Koprivnica,Pitomača,NA,NA,Pitomača II,8393/12,0.6035,1,10,NA,8393/12,8393/12,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8393/12,KC_VPZ.csv,13108756,309478,8393/12,602.555063099229,6036.11150517539
Koprivnica,Pitomača,NA,NA,Pitomača II,8393/13,0.5934,1,10,NA,8393/13,8393/13,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8393/13,KC_VPZ.csv,13108755,309478,8393/13,572.7221551463928,6159.268887525731
Koprivnica,Pitomača,NA,NA,Pitomača II,8393/14,0.5934,1,10,NA,8393/14,8393/14,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8393/14,KC_VPZ.csv,13108754,309478,8393/14,539.4598842536473,6186.872331058855
Koprivnica,Pitomača,NA,NA,Pitomača II,8393/15,0.5841,1,10,NA,8393/15,8393/15,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8393/15,KC_VPZ.csv,13108753,309478,8393/15,500.2673736932844,5847.8580862418485
Koprivnica,Pitomača,NA,NA,Pitomača II,8393/16,0.5956,1,10,NA,8393/16,8393/16,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8393/16,KC_VPZ.csv,13108751,309478,8393/16,468.97004224507606,6090.275701713676
Koprivnica,Pitomača,NA,NA,Pitomača II,8393/17,1.1919,1,10,NA,8393/17,8393/17,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8393/17,KC_VPZ.csv,13108752,309478,8393/17,534.9885550233462,12058.306054962315
Koprivnica,Pitomača,NA,NA,Pitomača II,8395/1,1.1581,1,10,NA,8395/1,8395/1,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8395/1,KC_VPZ.csv,13109881,309478,8395/1,596.2274026558476,11715.235007580455
Koprivnica,Pitomača,NA,NA,Pitomača II,8395/2,0.5557,1,10,NA,8395/2,8395/2,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8395/2,KC_VPZ.csv,13109882,309478,8395/2,533.0948452200903,5665.836926363288
Koprivnica,Pitomača,NA,NA,Pitomača II,8395/3,0.5963,1,10,NA,8395/3,8395/3,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8395/3,KC_VPZ.csv,13109883,309478,8395/3,536.6928751012441,6085.378903037177
Koprivnica,Pitomača,NA,NA,Pitomača II,8395/4,1.1675,1,10,NA,8395/4,8395/4,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8395/4,KC_VPZ.csv,13109884,309478,8395/4,584.8059982387161,11878.697129168333
Koprivnica,Pitomača,NA,NA,Pitomača II,8395/5,0.5812,1,10,NA,8395/5,8395/5,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8395/5,KC_VPZ.csv,13109885,309478,8395/5,534.2305673232712,5896.834554573121
Koprivnica,Pitomača,NA,NA,Pitomača II,8395/6,1.1596,1,10,NA,8395/6,8395/6,309478,Pitomaèa,Virovitičko-podravska županij,Virovitica,Šumarija Pitomača,Slatina,309478_8395/6,KC_VPZ.csv,13109886,309478,8395/6,582.9987484382399,11827.14638029347
