USP;Sumarija;GJ;Odsjek;KO;KC;Povrsina;stranica;odluka;napomena;ko_mb
Split;Hvar;SV.Nikola;25b;Hvar;d.819/1;34.8;1;1;NA;311693
Split;Hvar;SV.Nikola;25b;Hvar;d.819/2;34.8;1;1;NA;311693
Split;Hvar;SV.Nikola;30a;Brusje;608;4.55;1;1;NA;311642
Split;Hvar;SV.Nikola;30a;Brusje;612/1;4.55;1;1;NA;311642
Split;Hvar;SV.Nikola;30a;Brusje;d.612/3;4.55;1;1;NA;311642
Split;Hvar;SV.Nikola;30c;Brusje;d.612/3;8.27;1;1;NA;311642
Split;Hvar;SV.Nikola;30c;Brusje;620/1;8.27;1;1;NA;311642
Split;Hvar;SV.Nikola;30d;Brusje;552/1;8.17;1;1;NA;311642
Split;Hvar;SV.Nikola;31a;Brusje;2860;4.56;1;1;NA;311642
Split;Hvar;SV.Nikola;31a;Brusje;2861;4.56;1;1;NA;311642
Split;Hvar;SV.Nikola;31a;Brusje;2859;4.56;1;1;NA;311642
Split;Hvar;SV.Nikola;31a;Brusje;2877/1;4.56;1;1;NA;311642
Split;Hvar;SV.Nikola;31a;Brusje;2871;4.56;1;1;NA;311642
Split;Hvar;SV.Nikola;31a;Brusje;2874;4.56;1;1;NA;311642
Split;Hvar;SV.Nikola;31a;Brusje;2898/7;4.56;1;1;NA;311642
Split;Hvar;SV.Nikola;31a;Brusje;2898/6;4.56;1;1;NA;311642
Split;Hvar;SV.Nikola;31a;Brusje;2991;4.56;1;1;NA;311642
Split;Hvar;SV.Nikola;31a;Brusje;2932;4.56;1;1;NA;311642
Split;Hvar;SV.Nikola;31a;Brusje;2870;4.56;1;1;NA;311642
Split;Hvar;SV.Nikola;31a;Brusje;2876;4.56;1;1;NA;311642
Split;Hvar;SV.Nikola;31a;Brusje;2898/8;4.56;1;1;NA;311642
Split;Hvar;SV.Nikola;31a;Brusje;2989;4.56;1;1;NA;311642
Split;Hvar;SV.Nikola;31a;Brusje;2931;4.56;1;1;NA;311642
Split;Hvar;SV.Nikola;31a;Brusje;2934;4.56;1;1;NA;311642
Split;Hvar;SV.Nikola;31a;Brusje;3056;4.56;1;1;NA;311642
Split;Hvar;SV.Nikola;31a;Brusje;6671;4.56;1;1;NA;311642
Split;Hvar;SV.Nikola;31a;Brusje;6673;4.56;1;1;NA;311642
Split;Hvar;SV.Nikola;31b;Brusje;2165/1;11.12;1;1;NA;311642
Split;Hvar;SV.Nikola;31b;Brusje;2249/14;11.12;1;1;NA;311642
Split;Hvar;SV.Nikola;31b;Brusje;2338/15;11.12;1;1;NA;311642
Split;Hvar;SV.Nikola;31c;Brusje;2193;2.62;1;1;NA;311642
Split;Hvar;SV.Nikola;77a;Grablje;5545;5.44;1;1;NA;311685
Split;Hvar;SV.Nikola;77a;Grablje;7454;5.44;1;1;NA;311685
Split;Hvar;SV.Nikola;77a;Grablje;7455;5.44;1;1;NA;311685
Split;Hvar;SV.Nikola;77a;Grablje;7456/14;5.44;1;1;NA;311685
Split;Hvar;SV.Nikola;77a;Grablje;7459/118;5.44;1;1;NA;311685
Split;Hvar;SV.Nikola;77b;Grablje;6792;1.49;1;1;NA;311685
Split;Hvar;SV.Nikola;77c;Grablje;d.5980;19.35;1;1;NA;311685
Split;Hvar;SV.Nikola;77c;Grablje;6031;19.35;1;1;NA;311685
Split;Hvar;SV.Nikola;77c;Grablje;6062;19.35;1;1;NA;311685
Split;Hvar;SV.Nikola;77c;Grablje;6157;19.35;1;1;NA;311685
Split;Hvar;SV.Nikola;77c;Grablje;6249/3;19.35;1;1;NA;311685
Split;Hvar;SV.Nikola;77c;Grablje;d.6247/4;19.35;1;1;NA;311685
Split;Hvar;SV.Nikola;77c;Grablje;d.6158/1;19.35;1;1;NA;311685
Split;Hvar;SV.Nikola;77c;Grablje;583;19.35;1;1;NA;311685
Split;Hvar;SV.Nikola;77c;Grablje;584;19.35;1;1;NA;311685
Split;Hvar;SV.Nikola;77c;Grablje;1430;19.35;1;1;NA;311685
Split;Hvar;SV.Nikola;77c;Grablje;1503/4;19.35;1;1;NA;311685
Split;Hvar;SV.Nikola;77c;Grablje;1550;19.35;1;1;NA;311685
Split;Hvar;SV.Nikola;77c;Grablje;2606/2;19.35;1;1;NA;311685
Split;Hvar;SV.Nikola;77c;Grablje;2606/4;19.35;1;1;NA;311685
Split;Hvar;SV.Nikola;77c;Grablje;2606/8;19.35;1;1;NA;311685
Split;Hvar;SV.Nikola;77c;Grablje;2707/1;19.35;1;1;NA;311685
Split;Hvar;SV.Nikola;79a;Grablje;1848/1;28.68;1;1;NA;311685
Split;Hvar;SV.Nikola;79a;Grablje;1655;28.68;1;1;NA;311685
Split;Hvar;SV.Nikola;79a;Grablje;1857;28.68;1;1;NA;311685
Split;Hvar;SV.Nikola;79a;Grablje;1856;28.68;1;1;NA;311685
Split;Hvar;SV.Nikola;79a;Grablje;d.1828/1;28.68;1;1;NA;311685
Split;Hvar;SV.Nikola;79a;Grablje;d.1895;28.68;1;1;NA;311685
Split;Hvar;Plame;10a;Suæuraj;1326/22;9.22;1;1;NA;311731
Split;Hvar;Plame;10a;Suæuraj;d1378/1;9.22;1;1;NA;311731
Split;Hvar;Plame;10a;Suæuraj;1378/16;9.22;1;1;NA;311731
Split;Hvar;Plame;11a;Suæuraj;d.1356/7;30.45;1;1;NA;311731
Split;Hvar;Plame;11a;Suæuraj;d.1378/1;30.45;1;1;NA;311731
Split;Hvar;Plame;11a;Suæuraj;1378/49;30.45;1;1;NA;311731
Split;Hvar;Plame;14a;Suæuraj;d.1328/5;33.53;1;1;NA;311731
Split;Hvar;Plame;14a;Suæuraj;d.1459/1;33.53;1;1;NA;311731
Split;Hvar;Plame;14a;Suæuraj;1459/5;33.53;1;1;NA;311731
Split;Hvar;Plame;14a;Suæuraj;d.1459/6;33.53;1;1;NA;311731
Split;Hvar;Plame;32a;Bogomolje;d.3922/1;50.38;1;1;NA;311634
Split;Hvar;Plame;32a;Bogomolje;d.3923;50.38;1;1;NA;311634
Split;Hvar;Plame;32a;Bogomolje;d.3925;50.38;1;1;NA;311634
Split;Hvar;Plame;32a;Bogomolje;3927;50.38;1;1;NA;311634
