USP.x,Sumarija,GJ,Odsjek,KO.x,KC,Povrsina,stranica,odluka,napomena,KC_odluka,KC_2,ko_mb,ku_naziv,ZUP_NAZIV,ZUP_SJEDIS,Sumarija.y,USP.y,KOKC,Pov_unique,.id,OBJECTID,KO.y,BROJ_KC,SHAPE_Leng,SHAPE_Area
Split,Hvar,SV.Nikola,25b,Hvar,d.819/1 A,34.8,1,1,NA,"d.819/1 A,819/2",819/1 A,311693,Hvar,Splitsko-dalmatinska županija,Split,Šumarija Hvar,Split,311693_819/1 A,34.8,NA,NA,NA,NA,NA,NA
Split,Hvar,SV.Nikola,25b,Hvar,819/2,34.8,1,1,NA,"d.819/1 A,819/2",819/2,311693,Hvar,Splitsko-dalmatinska županija,Split,Šumarija Hvar,Split,311693_819/2,NA,KC_SDZ.csv,13878999,311692.99999999994,819/2,3675.888359203638,285593.3050397717
Split,Hvar,SV.Nikola,30a,Brusje,608,4.55,1,1,NA,"608,612/1 ,d.612/3",608,311642,Hvar,Splitsko-dalmatinska županija,Split,Šumarija Hvar,Split,311642_608,4.55,KC_SDZ.csv,4629316,311642,608,551.7038788406793,8945.981292285636
Split,Hvar,SV.Nikola,30a,Brusje,612/1,4.55,1,1,NA,"608,612/1 ,d.612/3",612/1,311642,Hvar,Splitsko-dalmatinska županija,Split,Šumarija Hvar,Split,311642_612/1,NA,KC_SDZ.csv,4627064,311642,612/1,513.8955954624741,8929.556763901983
Split,Hvar,SV.Nikola,30a,Brusje,d.612/3,4.55,1,1,NA,"608,612/1 ,d.612/3",612/3,311642,Hvar,Splitsko-dalmatinska županija,Split,Šumarija Hvar,Split,311642_612/3,NA,KC_SDZ.csv,4617897,311642,612/3,2648.7225512185278,162963.76057515867
Split,Hvar,SV.Nikola,30c,Brusje,d.612/3,8.27,1,1,NA,"d.612/3, 620/1",612/3,311642,Hvar,Splitsko-dalmatinska županija,Split,Šumarija Hvar,Split,311642_612/3,8.27,KC_SDZ.csv,4617897,311642,612/3,2648.7225512185278,162963.76057515867
Split,Hvar,SV.Nikola,30c,Brusje,620/1,8.27,1,1,NA,"d.612/3, 620/1",620/1,311642,Hvar,Splitsko-dalmatinska županija,Split,Šumarija Hvar,Split,311642_620/1,NA,KC_SDZ.csv,4624803,311642,620/1,318.88016671891444,1127.3675990812342
Split,Hvar,SV.Nikola,30d,Brusje,552/1,8.17,1,1,NA,552/1,552/1,311642,Hvar,Splitsko-dalmatinska županija,Split,Šumarija Hvar,Split,311642_552/1,8.17,KC_SDZ.csv,4621394,311642,552/1,1439.6215638610156,91166.68528858628
Split,Hvar,SV.Nikola,31a,Brusje,2860,4.56,1,1,NA,"2860, 2861, 2859, 2877/1 , 2871, 2874, 2898/7, 2898/6, 2991, 2932, 2870,2876,2898/8,2989,2931,2934, 3056, 6671, 6673",2860,311642,Hvar,Splitsko-dalmatinska županija,Split,Šumarija Hvar,Split,311642_2860,4.56,KC_SDZ.csv,4620609,311642,2860,350.5846154488821,3519.4005717276914
Split,Hvar,SV.Nikola,31a,Brusje,2861,4.56,1,1,NA,"2860, 2861, 2859, 2877/1 , 2871, 2874, 2898/7, 2898/6, 2991, 2932, 2870,2876,2898/8,2989,2931,2934, 3056, 6671, 6673",2861,311642,Hvar,Splitsko-dalmatinska županija,Split,Šumarija Hvar,Split,311642_2861,NA,KC_SDZ.csv,4620608,311642,2861,201.7087403219742,1750.3524446510937
Split,Hvar,SV.Nikola,31a,Brusje,2859,4.56,1,1,NA,"2860, 2861, 2859, 2877/1 , 2871, 2874, 2898/7, 2898/6, 2991, 2932, 2870,2876,2898/8,2989,2931,2934, 3056, 6671, 6673",2859,311642,Hvar,Splitsko-dalmatinska županija,Split,Šumarija Hvar,Split,311642_2859,NA,KC_SDZ.csv,4620610,311642,2859,329.98842832659005,3772.9881428420213
Split,Hvar,SV.Nikola,31a,Brusje,2877/1,4.56,1,1,NA,"2860, 2861, 2859, 2877/1 , 2871, 2874, 2898/7, 2898/6, 2991, 2932, 2870,2876,2898/8,2989,2931,2934, 3056, 6671, 6673",2877/1,311642,Hvar,Splitsko-dalmatinska županija,Split,Šumarija Hvar,Split,311642_2877/1,NA,KC_SDZ.csv,4624040,311642,2877/1,665.7532307293745,22144.81933559744
Split,Hvar,SV.Nikola,31a,Brusje,2871,4.56,1,1,NA,"2860, 2861, 2859, 2877/1 , 2871, 2874, 2898/7, 2898/6, 2991, 2932, 2870,2876,2898/8,2989,2931,2934, 3056, 6671, 6673",2871,311642,Hvar,Splitsko-dalmatinska županija,Split,Šumarija Hvar,Split,311642_2871,NA,KC_SDZ.csv,4624038,311642,2871,129.9590296753752,943.7957451844617
Split,Hvar,SV.Nikola,31a,Brusje,2874,4.56,1,1,NA,"2860, 2861, 2859, 2877/1 , 2871, 2874, 2898/7, 2898/6, 2991, 2932, 2870,2876,2898/8,2989,2931,2934, 3056, 6671, 6673",2874,311642,Hvar,Splitsko-dalmatinska županija,Split,Šumarija Hvar,Split,311642_2874,NA,KC_SDZ.csv,4622918,311642,2874,87.77922239193208,244.87551525916706
Split,Hvar,SV.Nikola,31a,Brusje,2898/7,4.56,1,1,NA,"2860, 2861, 2859, 2877/1 , 2871, 2874, 2898/7, 2898/6, 2991, 2932, 2870,2876,2898/8,2989,2931,2934, 3056, 6671, 6673",2898/7,311642,Hvar,Splitsko-dalmatinska županija,Split,Šumarija Hvar,Split,311642_2898/7,NA,KC_SDZ.csv,4622923,311642,2898/7,160.60951708853625,1413.9572266800535
